Timestamp	ID	Payload	Payload Length	Type	Name
2,294305	4E9	03  3C  02  00  00	5	S	
2,304104	349	03  64  00  1F  00  00  82  1E	8	S	
2,314106	349	03  64  00  1F  00  00  73  1E	8	S	
2,324159	349	03  64  00  1F  00  00  64  1E	8	S	
2,329121	489	FF  03  11  46  40  01  00  3F	8	S	
2,334104	349	03  64  00  1F  00  00  55  1E	8	S	
2,344102	349	03  64  00  1F  00  00  46  1E	8	S	
2,354134	349	03  64  00  1F  00  00  37  1E	8	S	
2,364113	349	03  64  00  1F  00  00  28  1E	8	S	
2,369147	C9	00  00  00  00  00  00  00  00	8	S	
2,369395	E9	00  00  00  00  00  00  00  00	8	S	
2,374066	A9	00  00  00  00  00	5	S	
2,374304	349	03  64  00  1F  00  00  19  1E	8	S	
2,384172	349	03  64  00  1F  00  00  0A  1E	8	S	
2,384417	789	C8  00  00  00  00  00  00  00	8	S	
2,389129	489	FF  03  11  46  40  01  00  3F	8	S	
2,394107	349	03  64  00  1F  00  00  FB  1E	8	S	
2,394292	4E9	03  4B  02  00  00	5	S	
2,404109	349	03  64  00  1F  00  00  EC  1E	8	S	
2,414151	349	03  64  00  1F  00  00  DD  1E	8	S	
2,424093	349	03  64  00  1F  00  00  CE  1E	8	S	
2,434092	349	03  64  00  1F  00  00  BF  1E	8	S	
2,444144	349	03  64  00  1F  00  00  A0  1E	8	S	
2,449108	489	FF  03  11  46  40  01  00  3F	8	S	
2,454093	349	03  64  00  1F  00  00  91  1E	8	S	
2,464093	349	03  64  00  1F  00  00  82  1E	8	S	
2,469131	C9	00  00  00  00  00  00  00  00	8	S	
2,469380	E9	00  00  00  00  00  00  00  00	8	S	
2,474082	A9	00  00  00  00  00	5	S	
2,474320	349	03  64  00  1F  00  00  73  1E	8	S	
2,484095	349	03  64  00  1F  00  00  64  1E	8	S	
2,494092	349	03  64  00  1F  00  00  55  1E	8	S	
2,494276	4E9	03  5A  02  00  00	5	S	
2,504138	349	03  64  00  1F  00  00  46  1E	8	S	
2,509110	489	FF  03  11  46  40  01  00  3F	8	S	
2,514091	349	03  64  00  1F  00  00  37  1E	8	S	
2,524093	349	03  64  00  1F  00  00  28  1E	8	S	
2,534123	349	03  64  00  1F  00  00  19  1E	8	S	
2,544094	349	03  64  00  1F  00  00  0A  1E	8	S	
2,554094	349	03  64  00  1F  00  00  FB  1E	8	S	
2,564187	349	03  64  00  1F  00  00  EC  1E	8	S	
2,569145	C9	00  00  00  00  00  00  00  00	8	S	
2,569394	E9	00  00  00  00  00  00  00  00	8	S	
2,569632	489	FF  03  11  46  40  01  00  3F	8	S	
2,574054	A9	00  00  00  00  00	5	S	
2,574293	349	03  64  00  1F  00  00  DD  1E	8	S	
2,584093	349	03  64  00  1F  00  00  CE  1E	8	S	
2,594123	349	03  64  00  1F  00  00  BF  1E	8	S	
2,594308	4E9	03  69  02  00  00	5	S	
2,604096	349	03  64  00  1F  00  00  A0  1E	8	S	
2,614092	349	03  64  00  1F  00  00  91  1E	8	S	
2,624139	349	03  64  00  1F  00  00  82  1E	8	S	
2,629109	489	FF  03  11  46  40  01  00  3F	8	S	
2,634094	349	03  64  00  1F  00  00  73  1E	8	S	
2,644096	349	03  64  00  1F  00  00  64  1E	8	S	
2,654122	349	03  64  00  1F  00  00  55  1E	8	S	
2,664091	349	03  64  00  1F  00  00  46  1E	8	S	
2,669133	C9	00  00  00  00  00  00  00  00	8	S	
2,669382	E9	00  00  00  00  00  00  00  00	8	S	
2,674054	A9	00  00  00  00  00	5	S	
2,674290	349	03  64  00  1F  00  00  37  1E	8	S	
2,684144	349	03  64  00  1F  00  00  28  1E	8	S	
2,689119	489	FF  03  11  46  40  01  00  3F	8	S	
2,694094	349	03  64  00  1F  00  00  19  1E	8	S	
2,694282	4E9	03  78  02  00  00	5	S	
2,704096	349	03  64  00  1F  00  00  0A  1E	8	S	
2,714139	349	03  64  00  1F  00  00  FB  1E	8	S	
2,724099	349	03  64  00  1F  00  00  EC  1E	8	S	
2,734096	349	03  64  00  1F  00  00  DD  1E	8	S	
2,744140	349	03  64  00  1F  00  00  CE  1E	8	S	
2,749112	489	FF  03  11  46  40  01  00  3F	8	S	
2,754095	349	03  64  00  1F  00  00  BF  1E	8	S	
2,764103	349	03  64  00  1F  00  00  A0  1E	8	S	
2,769135	C9	00  00  00  00  00  00  00  00	8	S	
2,769384	E9	00  00  00  00  00  00  00  00	8	S	
2,774086	A9	00  00  00  00  00	5	S	
2,774324	349	03  64  00  1F  00  00  91  1E	8	S	
2,784097	349	03  64  00  1F  00  00  82  1E	8	S	
2,794095	349	03  64  00  1F  00  00  73  1E	8	S	
2,794281	4E9	03  87  02  00  00	5	S	
2,804150	349	03  64  00  1F  00  00  64  1E	8	S	
2,809110	489	FF  03  11  46  40  01  00  3F	8	S	
2,814093	349	03  64  00  1F  00  00  55  1E	8	S	
2,824093	349	03  64  00  1F  00  00  46  1E	8	S	
2,834126	349	03  64  00  1F  00  00  37  1E	8	S	
2,844098	349	03  64  00  1F  00  00  28  1E	8	S	
2,854096	349	03  64  00  1F  00  00  19  1E	8	S	
2,864183	349	03  64  00  1F  00  00  0A  1E	8	S	
2,869147	C9	00  00  00  00  00  00  00  00	8	S	
2,869395	E9	00  00  00  00  00  00  00  00	8	S	
2,869634	489	FF  03  11  46  40  01  00  3F	8	S	
2,874060	A9	00  00  00  00  00	5	S	
2,874299	349	03  64  00  1F  00  00  FB  1E	8	S	
2,884101	349	03  64  00  1F  00  00  EC  1E	8	S	
2,894127	349	03  64  00  1F  00  00  DD  1E	8	S	
2,894311	4E9	03  96  02  00  00	5	S	
2,904098	349	03  64  00  1F  00  00  CE  1E	8	S	
2,914098	349	03  64  00  1F  00  00  BF  1E	8	S	
2,924149	349	03  64  00  1F  00  00  A0  1E	8	S	
